Crime Category,District,2010,2011,2012,Crimes Over the Years,Population,Crime Percentage
Procuration / Trafficking,"Kilinochchi (Kilinochchi, Mankulam )",0,0,1,1,113510,0.00088098
Offences  under the  Offensive weapons Act.,"Kilinochchi (Kilinochchi, Mankulam )",7,2,4,13,113510,0.011452735
Possession of  Automatic or  Repeater Shot Guns,"Kilinochchi (Kilinochchi, Mankulam )",1,0,1,2,113510,0.001761959
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kilinochchi (Kilinochchi, Mankulam )",8,1,0,9,113510,0.007928817
Abduction / Kidnapping,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",65,96,91,252,1618465,0.015570309
Arson,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",96,54,53,203,1618465,0.012542749
Mischief  over Rs.5000/=,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",183,71,60,314,1618465,0.019401099
H.B. & Theft,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",1343,1022,952,3317,1618465,0.20494728
Grevious  Hurt,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",77,120,73,270,1618465,0.016682474
Hurt  by Knife etc.,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",254,229,191,674,1618465,0.041644398
Homicide/Abet. To commit suicide,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",57,59,58,174,1618465,0.010750928
Attempted Homicide,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",17,11,12,40,1618465,0.002471478
Rape / Incest,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",164,170,207,541,1618465,0.033426735
Riot,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",0,1,1,2,1618465,0.000123574
Robbery,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",453,348,297,1098,1618465,0.06784206
Unnatural Offence/Grve Sexual Abuse,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",60,94,74,228,1618465,0.014087422
Extortion,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",17,11,11,39,1618465,0.002409691
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",197,500,537,1234,1618465,0.076245084
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",1030,735,668,2433,1618465,0.150327625
Counterfeiting Currency,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",2,6,1,9,1618465,0.000556082
Offences against  State,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",1,0,0,1,1618465,6.18E-05
Cruelty to Children & sexual  exploitation of children ,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",15,10,7,32,1618465,0.001977182
Procuration / Trafficking,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",1,0,1,2,1618465,0.000123574
Offences  under the  Offensive weapons Act.,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",15,13,10,38,1618465,0.002347904
Possession of  Automatic or  Repeater Shot Guns,"Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",0,2,0,2,1618465,0.000123574
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",18,3,10,31,1618465,0.001915395
Abduction / Kidnapping,Mannar ,9,4,6,19,99570,0.019082053
Arson,Mannar ,3,5,7,15,99570,0.015064779
Mischief  over Rs.5000/=,Mannar ,6,5,13,24,99570,0.024103646
H.B. & Theft,Mannar ,33,63,43,139,99570,0.139600281
Grevious  Hurt,Mannar ,14,11,11,36,99570,0.036155469
Hurt  by Knife etc.,Mannar ,23,18,15,56,99570,0.05624184
Homicide/Abet. To commit suicide,Mannar ,4,1,4,9,99570,0.009038867
Attempted Homicide,Mannar ,1,0,3,4,99570,0.004017274
Rape / Incest,Mannar ,13,7,15,35,99570,0.03515115
Riot,Mannar ,0,0,0,0,99570,0
Robbery,Mannar ,14,9,10,33,99570,0.033142513
Unnatural Offence/Grve Sexual Abuse,Mannar ,0,0,0,0,99570,0
Extortion,Mannar ,0,1,0,1,99570,0.001004319
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Mannar ,3,31,62,96,99570,0.096414583
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Mannar ,69,50,61,180,99570,0.180777343
Counterfeiting Currency,Mannar ,0,0,0,0,99570,0
Offences against  State,Mannar ,0,1,0,1,99570,0.001004319
Cruelty to Children & sexual  exploitation of children ,Mannar ,2,4,7,13,99570,0.013056141
Procuration / Trafficking,Mannar ,0,0,0,0,99570,0
Offences  under the  Offensive weapons Act.,Mannar ,1,0,2,3,99570,0.003012956
Possession of  Automatic or  Repeater Shot Guns,Mannar ,0,0,0,0,99570,0
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Mannar ,3,12,4,19,99570,0.019082053
Abduction / Kidnapping,Matale ,21,30,30,81,484531,0.016717197
Arson,Matale ,17,18,14,49,484531,0.010112872
Mischief  over Rs.5000/=,Matale ,25,49,29,103,484531,0.02125767
H.B. & Theft,Matale ,196,253,269,718,484531,0.148184533
Grevious  Hurt,Matale ,28,49,66,143,484531,0.029513076
Hurt  by Knife etc.,Matale ,84,96,71,251,484531,0.051802671
Homicide/Abet. To commit suicide,Matale ,15,12,14,41,484531,0.008461791
Attempted Homicide,Matale ,9,11,7,27,484531,0.005572399
Rape / Incest,Matale ,58,60,76,194,484531,0.040038718
Riot,Matale ,0,1,0,1,484531,0.000206385
Robbery,Matale ,66,61,85,212,484531,0.04375365
Unnatural Offence/Grve Sexual Abuse,Matale ,12,27,22,61,484531,0.012589494
Extortion,Matale ,0,1,0,1,484531,0.000206385
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Matale ,57,97,92,246,484531,0.050770745
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Matale ,138,152,165,455,484531,0.09390524
Counterfeiting Currency,Matale ,0,0,0,0,484531,0
Offences against  State,Matale ,0,0,0,0,484531,0
Cruelty to Children & sexual  exploitation of children ,Matale ,2,2,2,6,484531,0.001238311
Procuration / Trafficking,Matale ,0,1,0,1,484531,0.000206385
Offences  under the  Offensive weapons Act.,Matale ,3,3,0,6,484531,0.001238311
Possession of  Automatic or  Repeater Shot Guns,Matale ,0,1,1,2,484531,0.00041277
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Matale ,39,29,20,88,484531,0.018161893
Abduction / Kidnapping,Matara,66,41,51,158,814048,0.019409175
Arson,Matara,23,20,28,71,814048,0.008721844
Mischief  over Rs.5000/=,Matara,33,25,26,84,814048,0.010318802
H.B. & Theft,Matara,493,447,555,1495,814048,0.183650104
Grevious  Hurt,Matara,27,38,40,105,814048,0.012898502
Hurt  by Knife etc.,Matara,104,98,101,303,814048,0.037221392
Homicide/Abet. To commit suicide,Matara,29,26,29,84,814048,0.010318802
Attempted Homicide,Matara,6,7,6,19,814048,0.002334015
Rape / Incest,Matara,87,82,111,280,814048,0.034396006
Riot,Matara,0,0,0,0,814048,0
Robbery,Matara,151,137,196,484,814048,0.059455953
Unnatural Offence/Grve Sexual Abuse,Matara,8,8,11,27,814048,0.003316758
Extortion,Matara,0,1,7,8,814048,0.000982743
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Matara,7,146,189,342,814048,0.042012265
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Matara,239,183,258,680,814048,0.083533158
Counterfeiting Currency,Matara,2,0,0,2,814048,0.000245686
Offences against  State,Matara,0,0,0,0,814048,0
Cruelty to Children & sexual  exploitation of children ,Matara,13,25,41,79,814048,0.009704587
Procuration / Trafficking,Matara,5,6,5,16,814048,0.001965486
Offences  under the  Offensive weapons Act.,Matara,14,6,7,27,814048,0.003316758
Possession of  Automatic or  Repeater Shot Guns,Matara,1,3,0,4,814048,0.000491372
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Matara,19,7,11,37,814048,0.004545187
Abduction / Kidnapping,Monaragala,17,31,29,77,451058,0.017070975
Arson,Monaragala,16,17,16,49,451058,0.010863348
Mischief  over Rs.5000/=,Monaragala,31,43,22,96,451058,0.021283294
H.B. & Theft,Monaragala,258,295,334,887,451058,0.196648768
Grevious  Hurt,Monaragala,23,53,27,103,451058,0.022835201
Hurt  by Knife etc.,Monaragala,41,41,37,119,451058,0.026382416
Homicide/Abet. To commit suicide,Monaragala,22,15,24,61,451058,0.01352376
Attempted Homicide,Monaragala,10,14,13,37,451058,0.008202936
Rape / Incest,Monaragala,57,60,77,194,451058,0.04300999
Riot,Monaragala,0,0,0,0,451058,0
Robbery,Monaragala,80,63,78,221,451058,0.048995916
Unnatural Offence/Grve Sexual Abuse,Monaragala,22,17,33,72,451058,0.01596247
Extortion,Monaragala,1,1,0,2,451058,0.000443402
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Monaragala,48,46,39,133,451058,0.02948623
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Monaragala,136,205,174,515,451058,0.114176004
Counterfeiting Currency,Monaragala,0,0,0,0,451058,0
Offences against  State,Monaragala,0,0,0,0,451058,0
Cruelty to Children & sexual  exploitation of children ,Monaragala,0,5,2,7,451058,0.001551907
Procuration / Trafficking,Monaragala,0,5,0,5,451058,0.001108505
Offences  under the  Offensive weapons Act.,Monaragala,1,5,3,9,451058,0.001995309
Possession of  Automatic or  Repeater Shot Guns,Monaragala,1,0,0,1,451058,0.000221701
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Monaragala,20,29,44,93,451058,0.020618191
Abduction / Kidnapping,Mulllativu,0,2,5,7,92238,0.007589063
Arson,Mulllativu,0,0,4,4,92238,0.004336607
Mischief  over Rs.5000/=,Mulllativu,0,3,3,6,92238,0.006504911
H.B. & Theft,Mulllativu,2,6,30,38,92238,0.041197771
Grevious  Hurt,Mulllativu,0,1,15,16,92238,0.01734643
Hurt  by Knife etc.,Mulllativu,0,2,7,9,92238,0.009757367
Homicide/Abet. To commit suicide,Mulllativu,1,3,3,7,92238,0.007589063
Attempted Homicide,Mulllativu,1,1,3,5,92238,0.005420759
Rape / Incest,Mulllativu,2,4,9,15,92238,0.016262278
Riot,Mulllativu,0,0,0,0,92238,0
Robbery,Mulllativu,2,10,10,22,92238,0.023851341
Unnatural Offence/Grve Sexual Abuse,Mulllativu,0,0,0,0,92238,0
Extortion,Mulllativu,0,0,0,0,92238,0
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Mulllativu,1,6,13,20,92238,0.021683037
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Mulllativu,8,23,56,87,92238,0.094321213
Counterfeiting Currency,Mulllativu,0,0,0,0,92238,0
Offences against  State,Mulllativu,0,0,0,0,92238,0
Cruelty to Children & sexual  exploitation of children ,Mulllativu,1,1,0,2,92238,0.002168304
Procuration / Trafficking,Mulllativu,0,0,0,0,92238,0
Offences  under the  Offensive weapons Act.,Mulllativu,1,0,1,2,92238,0.002168304
Possession of  Automatic or  Repeater Shot Guns,Mulllativu,0,0,0,0,92238,0
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Mulllativu,0,0,0,0,92238,0
Abduction / Kidnapping,"Nuwara Eliya (Hatton, Nuwara Eliya )",13,6,21,40,711644,0.005620788
Arson,"Nuwara Eliya (Hatton, Nuwara Eliya )",8,5,10,23,711644,0.003231953
Mischief  over Rs.5000/=,"Nuwara Eliya (Hatton, Nuwara Eliya )",49,29,32,110,711644,0.015457167
H.B. & Theft,"Nuwara Eliya (Hatton, Nuwara Eliya )",283,205,190,678,711644,0.095272355
Grevious  Hurt,"Nuwara Eliya (Hatton, Nuwara Eliya )",53,92,96,241,711644,0.033865247
Hurt  by Knife etc.,"Nuwara Eliya (Hatton, Nuwara Eliya )",58,70,84,212,711644,0.029790176
Homicide/Abet. To commit suicide,"Nuwara Eliya (Hatton, Nuwara Eliya )",14,13,17,44,711644,0.006182867
Attempted Homicide,"Nuwara Eliya (Hatton, Nuwara Eliya )",7,0,13,20,711644,0.002810394
Rape / Incest,"Nuwara Eliya (Hatton, Nuwara Eliya )",2,32,43,77,711644,0.010820017
Riot,"Nuwara Eliya (Hatton, Nuwara Eliya )",8,1,1,10,711644,0.001405197
Robbery,"Nuwara Eliya (Hatton, Nuwara Eliya )",52,51,48,151,711644,0.021218474
Unnatural Offence/Grve Sexual Abuse,"Nuwara Eliya (Hatton, Nuwara Eliya )",13,11,4,28,711644,0.003934552
Extortion,"Nuwara Eliya (Hatton, Nuwara Eliya )",4,0,1,5,711644,0.000702598
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Nuwara Eliya (Hatton, Nuwara Eliya )",44,87,107,238,711644,0.033443688
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Nuwara Eliya (Hatton, Nuwara Eliya )",143,150,154,447,711644,0.062812305
Counterfeiting Currency,"Nuwara Eliya (Hatton, Nuwara Eliya )",0,1,2,3,711644,0.000421559
Offences against  State,"Nuwara Eliya (Hatton, Nuwara Eliya )",0,0,0,0,711644,0
Cruelty to Children & sexual  exploitation of children ,"Nuwara Eliya (Hatton, Nuwara Eliya )",12,5,8,25,711644,0.003512992
Procuration / Trafficking,"Nuwara Eliya (Hatton, Nuwara Eliya )",0,0,0,0,711644,0
Offences  under the  Offensive weapons Act.,"Nuwara Eliya (Hatton, Nuwara Eliya )",0,1,0,1,711644,0.00014052
Possession of  Automatic or  Repeater Shot Guns,"Nuwara Eliya (Hatton, Nuwara Eliya )",0,0,0,0,711644,0
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Nuwara Eliya (Hatton, Nuwara Eliya )",5,0,2,7,711644,0.000983638
Abduction / Kidnapping,Polonnaruwa,23,30,42,95,406088,0.023393944
Arson,Polonnaruwa,43,39,17,99,406088,0.024378952
Mischief  over Rs.5000/=,Polonnaruwa,43,29,31,103,406088,0.025363961
H.B. & Theft,Polonnaruwa,375,298,283,956,406088,0.235416954
Grevious  Hurt,Polonnaruwa,47,34,48,129,406088,0.031766514
Hurt  by Knife etc.,Polonnaruwa,101,65,74,240,406088,0.059100491
Homicide/Abet. To commit suicide,Polonnaruwa,10,6,9,25,406088,0.006156301
Attempted Homicide,Polonnaruwa,9,4,5,18,406088,0.004432537
Rape / Incest,Polonnaruwa,78,46,72,196,406088,0.048265401
Riot,Polonnaruwa,0,0,0,0,406088,0
Robbery,Polonnaruwa,93,91,96,280,406088,0.068950572
Unnatural Offence/Grve Sexual Abuse,Polonnaruwa,14,10,10,34,406088,0.008372569
Extortion,Polonnaruwa,2,5,1,8,406088,0.001970016
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Polonnaruwa,19,100,124,243,406088,0.059839247
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Polonnaruwa,219,207,217,643,406088,0.158340064
Counterfeiting Currency,Polonnaruwa,0,1,4,5,406088,0.00123126
Offences against  State,Polonnaruwa,0,0,0,0,406088,0
Cruelty to Children & sexual  exploitation of children ,Polonnaruwa,30,20,41,91,406088,0.022408936
Procuration / Trafficking,Polonnaruwa,27,4,1,32,406088,0.007880065
Offences  under the  Offensive weapons Act.,Polonnaruwa,7,2,1,10,406088,0.00246252
Possession of  Automatic or  Repeater Shot Guns,Polonnaruwa,1,1,3,5,406088,0.00123126
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Polonnaruwa,5,1,1,7,406088,0.001723764
Abduction / Kidnapping,"Puttlam (Puttlam, Chilaw )",39,46,55,140,762396,0.01836316
Arson,"Puttlam (Puttlam, Chilaw )",38,28,21,87,762396,0.011411393
Mischief  over Rs.5000/=,"Puttlam (Puttlam, Chilaw )",58,52,26,136,762396,0.017838499
H.B. & Theft,"Puttlam (Puttlam, Chilaw )",621,492,438,1551,762396,0.203437584
Grevious  Hurt,"Puttlam (Puttlam, Chilaw )",23,43,25,91,762396,0.011936054
Hurt  by Knife etc.,"Puttlam (Puttlam, Chilaw )",120,151,105,376,762396,0.049318202
Homicide/Abet. To commit suicide,"Puttlam (Puttlam, Chilaw )",34,24,22,80,762396,0.010493234
Attempted Homicide,"Puttlam (Puttlam, Chilaw )",13,15,8,36,762396,0.004721956
Rape / Incest,"Puttlam (Puttlam, Chilaw )",95,102,92,289,762396,0.03790681
Riot,"Puttlam (Puttlam, Chilaw )",0,0,0,0,762396,0
Robbery,"Puttlam (Puttlam, Chilaw )",167,177,149,493,762396,0.064664558
Unnatural Offence/Grve Sexual Abuse,"Puttlam (Puttlam, Chilaw )",27,30,29,86,762396,0.011280227
Extortion,"Puttlam (Puttlam, Chilaw )",4,2,1,7,762396,0.000918158
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Puttlam (Puttlam, Chilaw )",32,317,224,573,762396,0.075157792
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Puttlam (Puttlam, Chilaw )",447,319,278,1044,762396,0.13693671
Counterfeiting Currency,"Puttlam (Puttlam, Chilaw )",0,0,1,1,762396,0.000131165
Offences against  State,"Puttlam (Puttlam, Chilaw )",0,0,0,0,762396,0
Cruelty to Children & sexual  exploitation of children ,"Puttlam (Puttlam, Chilaw )",7,6,3,16,762396,0.002098647
Procuration / Trafficking,"Puttlam (Puttlam, Chilaw )",0,0,0,0,762396,0
Offences  under the  Offensive weapons Act.,"Puttlam (Puttlam, Chilaw )",4,2,9,15,762396,0.001967481
Possession of  Automatic or  Repeater Shot Guns,"Puttlam (Puttlam, Chilaw )",4,5,5,14,762396,0.001836316
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Puttlam (Puttlam, Chilaw )",6,0,12,18,762396,0.002360978
Abduction / Kidnapping,Ratnapura ,45,60,56,161,1088007,0.014797699
Arson,Ratnapura ,41,57,50,148,1088007,0.013602854
Mischief  over Rs.5000/=,Ratnapura ,69,45,68,182,1088007,0.016727834
H.B. & Theft,Ratnapura ,1014,1091,900,3005,1088007,0.276193076
Grevious  Hurt,Ratnapura ,100,108,101,309,1088007,0.028400553
Hurt  by Knife etc.,Ratnapura ,154,160,198,512,1088007,0.047058521
Homicide/Abet. To commit suicide,Ratnapura ,64,58,46,168,1088007,0.015441077
Attempted Homicide,Ratnapura ,19,14,19,52,1088007,0.004779381
Rape / Incest,Ratnapura ,135,122,130,387,1088007,0.035569624
Riot,Ratnapura ,0,0,0,0,1088007,0
Robbery,Ratnapura ,350,302,295,947,1088007,0.087039881
Unnatural Offence/Grve Sexual Abuse,Ratnapura ,56,42,57,155,1088007,0.014246232
Extortion,Ratnapura ,2,3,2,7,1088007,0.000643378
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Ratnapura ,255,170,248,673,1088007,0.06185622
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Ratnapura ,463,427,487,1377,1088007,0.126561686
Counterfeiting Currency,Ratnapura ,1,1,3,5,1088007,0.000459556
Offences against  State,Ratnapura ,0,0,0,0,1088007,0
Cruelty to Children & sexual  exploitation of children ,Ratnapura ,3,7,7,17,1088007,0.00156249
Procuration / Trafficking,Ratnapura ,3,0,1,4,1088007,0.000367645
Offences  under the  Offensive weapons Act.,Ratnapura ,11,5,6,22,1088007,0.002022046
Possession of  Automatic or  Repeater Shot Guns,Ratnapura ,2,0,1,3,1088007,0.000275734
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Ratnapura ,21,26,20,67,1088007,0.006158049
Abduction / Kidnapping,Hambanthota (Tangalle ),43,44,53,140,599903,0.023337106
Arson,Hambanthota (Tangalle ),38,25,23,86,599903,0.014335651
Mischief  over Rs.5000/=,Hambanthota (Tangalle ),44,32,33,109,599903,0.018169604
H.B. & Theft,Hambanthota (Tangalle ),362,403,487,1252,599903,0.208700407
Grevious  Hurt,Hambanthota (Tangalle ),33,30,16,79,599903,0.013168796
Hurt  by Knife etc.,Hambanthota (Tangalle ),87,51,56,194,599903,0.032338561
Homicide/Abet. To commit suicide,Hambanthota (Tangalle ),43,41,21,105,599903,0.01750283
Attempted Homicide,Hambanthota (Tangalle ),10,14,12,36,599903,0.00600097
Rape / Incest,Hambanthota (Tangalle ),77,76,106,259,599903,0.043173646
Riot,Hambanthota (Tangalle ),0,0,1,1,599903,0.000166694
Robbery,Hambanthota (Tangalle ),216,184,181,581,599903,0.096848991
Unnatural Offence/Grve Sexual Abuse,Hambanthota (Tangalle ),24,27,38,89,599903,0.014835732
Extortion,Hambanthota (Tangalle ),1,2,2,5,599903,0.000833468
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Hambanthota (Tangalle ),51,117,218,386,599903,0.064343736
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Hambanthota (Tangalle ),252,245,274,771,599903,0.128520778
Counterfeiting Currency,Hambanthota (Tangalle ),0,1,1,2,599903,0.000333387
Offences against  State,Hambanthota (Tangalle ),0,0,0,0,599903,0
Cruelty to Children & sexual  exploitation of children ,Hambanthota (Tangalle ),4,0,1,5,599903,0.000833468
Procuration / Trafficking,Hambanthota (Tangalle ),1,0,0,1,599903,0.000166694
Offences  under the  Offensive weapons Act.,Hambanthota (Tangalle ),4,6,8,18,599903,0.003000485
Possession of  Automatic or  Repeater Shot Guns,Hambanthota (Tangalle ),1,2,2,5,599903,0.000833468
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Hambanthota (Tangalle ),35,24,56,115,599903,0.019169766
Abduction / Kidnapping,"Trincomalee (Kantale, Trincomalee )",13,16,17,46,379541,0.012119903
Arson,"Trincomalee (Kantale, Trincomalee )",8,16,23,47,379541,0.012383379
Mischief  over Rs.5000/=,"Trincomalee (Kantale, Trincomalee )",36,30,18,84,379541,0.022131996
H.B. & Theft,"Trincomalee (Kantale, Trincomalee )",227,184,210,621,379541,0.163618687
Grevious  Hurt,"Trincomalee (Kantale, Trincomalee )",57,43,50,150,379541,0.039521422
Hurt  by Knife etc.,"Trincomalee (Kantale, Trincomalee )",57,40,42,139,379541,0.036623184
Homicide/Abet. To commit suicide,"Trincomalee (Kantale, Trincomalee )",9,11,13,33,379541,0.008694713
Attempted Homicide,"Trincomalee (Kantale, Trincomalee )",5,4,4,13,379541,0.00342519
Rape / Incest,"Trincomalee (Kantale, Trincomalee )",32,30,39,101,379541,0.026611091
Riot,"Trincomalee (Kantale, Trincomalee )",0,2,0,2,379541,0.000526952
Robbery,"Trincomalee (Kantale, Trincomalee )",33,27,35,95,379541,0.025030234
Unnatural Offence/Grve Sexual Abuse,"Trincomalee (Kantale, Trincomalee )",19,5,15,39,379541,0.01027557
Extortion,"Trincomalee (Kantale, Trincomalee )",1,3,1,5,379541,0.001317381
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=","Trincomalee (Kantale, Trincomalee )",11,71,123,205,379541,0.05401261
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,"Trincomalee (Kantale, Trincomalee )",215,207,176,598,379541,0.157558735
Counterfeiting Currency,"Trincomalee (Kantale, Trincomalee )",1,1,0,2,379541,0.000526952
Offences against  State,"Trincomalee (Kantale, Trincomalee )",0,0,0,0,379541,0
Cruelty to Children & sexual  exploitation of children ,"Trincomalee (Kantale, Trincomalee )",5,7,1,13,379541,0.00342519
Procuration / Trafficking,"Trincomalee (Kantale, Trincomalee )",1,0,0,1,379541,0.000263476
Offences  under the  Offensive weapons Act.,"Trincomalee (Kantale, Trincomalee )",3,2,4,9,379541,0.002371285
Possession of  Automatic or  Repeater Shot Guns,"Trincomalee (Kantale, Trincomalee )",1,0,1,2,379541,0.000526952
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000","Trincomalee (Kantale, Trincomalee )",7,6,1,14,379541,0.003688666
Abduction / Kidnapping,Vavuniya ,8,6,10,24,172115,0.013944165
Arson,Vavuniya ,6,5,9,20,172115,0.011620138
Mischief  over Rs.5000/=,Vavuniya ,10,8,11,29,172115,0.0168492
H.B. & Theft,Vavuniya ,89,112,120,321,172115,0.18650321
Grevious  Hurt,Vavuniya ,16,15,13,44,172115,0.025564303
Hurt  by Knife etc.,Vavuniya ,24,21,6,51,172115,0.029631351
Homicide/Abet. To commit suicide,Vavuniya ,8,8,10,26,172115,0.015106179
Attempted Homicide,Vavuniya ,2,3,0,5,172115,0.002905034
Rape / Incest,Vavuniya ,25,12,15,52,172115,0.030212358
Riot,Vavuniya ,0,0,0,0,172115,0
Robbery,Vavuniya ,64,38,32,134,172115,0.077854923
Unnatural Offence/Grve Sexual Abuse,Vavuniya ,4,0,6,10,172115,0.005810069
Extortion,Vavuniya ,3,1,2,6,172115,0.003486041
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Vavuniya ,109,133,129,371,172115,0.215553554
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Vavuniya ,135,104,136,375,172115,0.217877582
Counterfeiting Currency,Vavuniya ,0,0,1,1,172115,0.000581007
Offences against  State,Vavuniya ,0,0,1,1,172115,0.000581007
Cruelty to Children & sexual  exploitation of children ,Vavuniya ,10,5,2,17,172115,0.009877117
Procuration / Trafficking,Vavuniya ,0,1,1,2,172115,0.001162014
Offences  under the  Offensive weapons Act.,Vavuniya ,10,6,9,25,172115,0.014525172
Possession of  Automatic or  Repeater Shot Guns,Vavuniya ,1,1,0,2,172115,0.001162014
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Vavuniya ,4,3,5,12,172115,0.006972083
